,Name,Grade,Moves,Holdsets,Id,holds,number_of_holds,lengths_of_moves,numeric_grades,median_diff_holds,mean_diff_holds,downwards_count,only_upwards_count,only_sideways_count,yellow_count,black_count,white_count,Grade_ohe,downwards_percent,black_percent,white_percent,yellow_percent,b_w_percent,only_upwards_percent,mean_distance_of_holds,Grade_numeric,Grade_thermo,last_move_diff,first_move_diff
0,BLACK BEAUTY,8B,"[{'Id': 1542554, 'Description': 'J5', 'IsStart': True, 'IsEnd': False}, {'Id': 1542555, 'Description': 'I9', 'IsStart': False, 'IsEnd': False}, {'Id': 1542556, 'Description': 'E14', 'IsStart': False, 'IsEnd': False}, {'Id': 1542557, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",82224,"['J5', 'I9', 'E14', 'H18']",4,"{'J5toI9': 4.123105625617661, 'J5toE14': 10.295630140987, 'J5toH18': 13.152946437965905, 'I9toE14': 6.4031242374328485, 'I9toH18': 9.055385138137417, 'E14toH18': 5.0}",129.746337890625,15.345703125,19.62380104954338,3,1,0,1,3,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],0.75,0.75,0.0,0.25,0.75,0.25,8.005031930023472,11,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",63.725579254548926,6.473550106925658
1,PROJECT 2,8A+,"[{'Id': 1535606, 'Description': 'K6', 'IsStart': True, 'IsEnd': False}, {'Id': 1535607, 'Description': 'K7', 'IsStart': False, 'IsEnd': False}, {'Id': 1535608, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1535609, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1535610, 'Description': 'A16', 'IsStart': False, 'IsEnd': False}, {'Id': 1535611, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62575,"['K6', 'K7', 'D10', 'H14', 'A16', 'A18']",6,"{'K6toK7': 1.0, 'K6toD10': 8.06225774829855, 'K6toH14': 8.54400374531753, 'K6toA16': 14.142135623730951, 'K6toA18': 15.620499351813308, 'K7toD10': 7.615773105863909, 'K7toH14': 7.615773105863909, 'K7toA16': 13.45362404707371, 'K7toA18': 14.866068747318506, 'D10toH14': 5.656854249492381, 'D10toA16': 6.708203932499369, 'D10toA18': 8.54400374531753, 'H14toA16': 7.280109889280518, 'H14toA18': 8.06225774829855, 'A16toA18': 2.0}",86.49755859375,18.509765625,29.576319021503945,6,0,0,5,1,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666663,0.0,8.611437669344582,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",38.87060743320062,0.13175776812378465
2,SHATTERED MERCY,8A+,"[{'Id': 1596473, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 1596474, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1596475, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1596476, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 1596477, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1596478, 'Description': 'H14', 'IsStart': False, 'IsEnd': False}, {'Id': 1596479, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1596480, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",241045,"['D3', 'B4', 'G7', 'I8', 'K12', 'H14', 'H15', 'C18']",8,"{'D3toB4': 2.23606797749979, 'D3toG7': 5.0, 'D3toI8': 7.0710678118654755, 'D3toK12': 11.40175425099138, 'D3toH14': 11.704699910719626, 'D3toH15': 12.649110640673518, 'D3toC18': 15.033296378372908, 'B4toG7': 5.830951894845301, 'B4toI8': 8.06225774829855, 'B4toK12': 12.041594578792296, 'B4toH14': 11.661903789690601, 'B4toH15': 12.529964086141668, 'B4toC18': 14.035668847618199, 'G7toI8': 2.23606797749979, 'G7toK12': 6.4031242374328485, 'G7toH14': 7.0710678118654755, 'G7toH15': 8.06225774829855, 'G7toC18': 11.704699910719626, 'I8toK12': 4.47213595499958, 'I8toH14': 6.082762530298219, 'I8toH15': 7.0710678118654755, 'I8toC18': 11.661903789690601, 'K12toH14': 3.605551275463989, 'K12toH15': 4.242640687119285, 'K12toC18': 10.0, 'H14toH15': 1.0, 'H14toC18': 6.4031242374328485, 'H15toC18': 5.830951894845301}",86.49755859375,18.509765625,27.793140813002033,6,2,0,8,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],0.75,0.0,0.0,1.0,0.0,0.25,8.039489063680033,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",336.61323744538333,114.6428631258207
3,ATTIC ADDICT,8A,"[{'Id': 1986894, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 1986895, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1986896, 'Description': 'J6', 'IsStart': False, 'IsEnd': False}, {'Id': 1986897, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}, {'Id': 1986898, 'Description': 'J12', 'IsStart': False, 'IsEnd': False}, {'Id': 1986899, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1986900, 'Description': 'F16', 'IsStart': False, 'IsEnd': False}, {'Id': 1986901, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",350783,"['E6', 'G2', 'J6', 'F8', 'J12', 'F15', 'F16', 'A18']",8,"{'E6toG2': 4.47213595499958, 'E6toJ6': 5.0, 'E6toF8': 2.23606797749979, 'E6toJ12': 7.810249675906654, 'E6toF15': 9.055385138137417, 'E6toF16': 10.04987562112089, 'E6toA18': 12.649110640673518, 'G2toJ6': 5.0, 'G2toF8': 6.082762530298219, 'G2toJ12': 10.44030650891055, 'G2toF15': 13.038404810405298, 'G2toF16': 14.035668847618199, 'G2toA18': 17.08800749063506, 'J6toF8': 4.47213595499958, 'J6toJ12': 6.0, 'J6toF15': 9.848857801796104, 'J6toF16': 10.770329614269007, 'J6toA18': 15.0, 'F8toJ12': 5.656854249492381, 'F8toF15': 7.0, 'F8toF16': 8.0, 'F8toA18': 11.180339887498949, 'J12toF15': 5.0, 'J12toF16': 5.656854249492381, 'J12toA18': 10.816653826391969, 'F15toF16': 1.0, 'F15toA18': 5.830951894845301, 'F16toA18': 5.385164807134504}",57.6650390625,12.33984375,21.766030173647657,7,1,0,2,3,3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.875,0.375,0.375,0.25,0.75,0.125,8.163432767218762,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",3.345859453076559,2.4655318826221584
4,BUNNY,8A,"[{'Id': 1521147, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1521148, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521149, 'Description': 'H7', 'IsStart': False, 'IsEnd': False}, {'Id': 1521150, 'Description': 'K8', 'IsStart': False, 'IsEnd': False}, {'Id': 1521151, 'Description': 'K10', 'IsStart': False, 'IsEnd': False}, {'Id': 1521152, 'Description': 'K13', 'IsStart': False, 'IsEnd': False}, {'Id': 1521153, 'Description': 'G16', 'IsStart': False, 'IsEnd': False}, {'Id': 1521154, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",23184,"['B4', 'G7', 'H7', 'K8', 'K10', 'K13', 'G16', 'H18']",8,"{'B4toG7': 5.830951894845301, 'B4toH7': 6.708203932499369, 'B4toK8': 9.848857801796104, 'B4toK10': 10.816653826391969, 'B4toK13': 12.727922061357855, 'B4toG16': 13.0, 'B4toH18': 15.231546211727817, 'G7toH7': 1.0, 'G7toK8': 4.123105625617661, 'G7toK10': 5.0, 'G7toK13': 7.211102550927978, 'G7toG16': 9.0, 'G7toH18': 11.045361017187261, 'H7toK8': 3.1622776601683795, 'H7toK10': 4.242640687119285, 'H7toK13': 6.708203932499369, 'H7toG16': 9.055385138137417, 'H7toH18': 11.0, 'K8toK10': 2.0, 'K8toK13': 5.0, 'K8toG16': 8.94427190999916, 'K8toH18': 10.44030650891055, 'K10toK13': 3.0, 'K10toG16': 7.211102550927978, 'K10toH18': 8.54400374531753, 'K13toG16': 5.0, 'K13toH18': 5.830951894845301, 'G16toH18': 2.23606797749979}",57.6650390625,25.62890625,30.831235526586436,7,1,0,8,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.875,0.0,0.0,1.0,0.0,0.125,7.28281846170629,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",316.79630067547004,124.81757900637987
5,DANK ENERGY,8A,"[{'Id': 1656077, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1656078, 'Description': 'E7', 'IsStart': False, 'IsEnd': False}, {'Id': 1656079, 'Description': 'F12', 'IsStart': False, 'IsEnd': False}, {'Id': 1656080, 'Description': 'D13', 'IsStart': False, 'IsEnd': False}, {'Id': 1656081, 'Description': 'I15', 'IsStart': False, 'IsEnd': False}, {'Id': 1656082, 'Description': 'I18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",309814,"['I4', 'E7', 'F12', 'D13', 'I15', 'I18']",6,"{'I4toE7': 5.0, 'I4toF12': 8.54400374531753, 'I4toD13': 10.295630140987, 'I4toI15': 11.0, 'I4toI18': 14.0, 'E7toF12': 5.0990195135927845, 'E7toD13': 6.082762530298219, 'E7toI15': 8.94427190999916, 'E7toI18': 11.704699910719626, 'F12toD13': 2.23606797749979, 'F12toI15': 4.242640687119285, 'F12toI18': 6.708203932499369, 'D13toI15': 5.385164807134504, 'D13toI18': 7.0710678118654755, 'I15toI18': 3.0}",57.6650390625,12.33984375,17.05241749295484,6,0,0,1,2,3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.0,7.2875688644688505,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",5.333599173386216,1.9945788911742917
6,GNIBMILC,8A,"[{'Id': 2148348, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 2148349, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 2148350, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 2148351, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 2148352, 'Description': 'G16', 'IsStart': False, 'IsEnd': False}, {'Id': 2148353, 'Description': 'A16', 'IsStart': False, 'IsEnd': False}, {'Id': 2148354, 'Description': 'A12', 'IsStart': False, 'IsEnd': False}, {'Id': 2148355, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",371579,"['D3', 'E6', 'I8', 'G14', 'G16', 'A16', 'A12', 'A18']",8,"{'D3toE6': 3.1622776601683795, 'D3toI8': 7.0710678118654755, 'D3toG14': 11.40175425099138, 'D3toG16': 13.341664064126334, 'D3toA16': 13.341664064126334, 'D3toA12': 9.486832980505138, 'D3toA18': 15.297058540778355, 'E6toI8': 4.47213595499958, 'E6toG14': 8.246211251235321, 'E6toG16': 10.198039027185569, 'E6toA16': 10.770329614269007, 'E6toA12': 7.211102550927978, 'E6toA18': 12.649110640673518, 'I8toG14': 6.324555320336759, 'I8toG16': 8.246211251235321, 'I8toA16': 11.313708498984761, 'I8toA12': 8.94427190999916, 'I8toA18': 12.806248474865697, 'G14toG16': 2.0, 'G14toA16': 6.324555320336759, 'G14toA12': 6.324555320336759, 'G14toA18': 7.211102550927978, 'G16toA16': 6.0, 'G16toA12': 7.211102550927978, 'G16toA18': 6.324555320336759, 'A16toA12': 4.0, 'A16toA18': 2.0, 'A12toA18': 6.0}",57.6650390625,9.4921875,26.25326470003793,7,1,0,4,3,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.875,0.375,0.125,0.5,0.5,0.125,8.13143267607644,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",21.96663532649149,60.21925951117511
7,I BURNT OFF MEGOS,8A,"[{'Id': 1844685, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}, {'Id': 1844686, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1844687, 'Description': 'F15', 'IsStart': False, 'IsEnd': False}, {'Id': 1844688, 'Description': 'F9', 'IsStart': False, 'IsEnd': False}, {'Id': 1844689, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",62560,"['C18', 'D6', 'F15', 'F9', 'H9']",5,"{'C18toD6': 12.041594578792296, 'C18toF15': 4.242640687119285, 'C18toF9': 9.486832980505138, 'C18toH9': 10.295630140987, 'D6toF15': 9.219544457292887, 'D6toF9': 3.605551275463989, 'D6toH9': 5.0, 'F15toF9': 6.0, 'F15toH9': 6.324555320336759, 'F9toH9': 2.0}",57.6650390625,11.390625,17.024332255701864,5,0,0,5,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,0.0,0.0,1.0,0.0,0.0,6.821634944049736,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2478.7946202274425,48.41385470611246
8,KAWASCHUWU,8A,"[{'Id': 1857955, 'Description': 'E16', 'IsStart': False, 'IsEnd': False}, {'Id': 1857956, 'Description': 'F10', 'IsStart': False, 'IsEnd': False}, {'Id': 1857957, 'Description': 'F6', 'IsStart': False, 'IsEnd': False}, {'Id': 1857958, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1857959, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1857960, 'Description': 'K12', 'IsStart': False, 'IsEnd': False}, {'Id': 1857961, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62275,"['E16', 'F10', 'F6', 'G2', 'K5', 'K12', 'K18']",7,"{'E16toF10': 6.082762530298219, 'E16toF6': 10.04987562112089, 'E16toG2': 14.142135623730951, 'E16toK5': 12.529964086141668, 'E16toK12': 7.211102550927978, 'E16toK18': 6.324555320336759, 'F10toF6': 4.0, 'F10toG2': 8.06225774829855, 'F10toK5': 7.0710678118654755, 'F10toK12': 5.385164807134504, 'F10toK18': 9.433981132056603, 'F6toG2': 4.123105625617661, 'F6toK5': 5.0990195135927845, 'F6toK12': 7.810249675906654, 'F6toK18': 13.0, 'G2toK5': 5.0, 'G2toK12': 10.770329614269007, 'G2toK18': 16.492422502470642, 'K5toK12': 7.0, 'K5toK18': 13.0, 'K12toK18': 6.0}",57.6650390625,7.59375,16.60772890210772,6,1,0,2,1,4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.8571428571428571,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.14285714285714285,8.504190198274681,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",8.532445015940711,5.123530269790017
9,ONE MOVE WONDER,8A,"[{'Id': 1524277, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1524278, 'Description': 'F6', 'IsStart': True, 'IsEnd': False}, {'Id': 1524279, 'Description': 'G11', 'IsStart': False, 'IsEnd': False}, {'Id': 1524280, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1524281, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",30609,"['D6', 'F6', 'G11', 'H15', 'H18']",5,"{'D6toF6': 2.0, 'D6toG11': 5.830951894845301, 'D6toH15': 9.848857801796104, 'D6toH18': 12.649110640673518, 'F6toG11': 5.0990195135927845, 'F6toH15': 9.219544457292887, 'F6toH18': 12.165525060596439, 'G11toH15': 4.123105625617661, 'G11toH18': 7.0710678118654755, 'H15toH18': 3.0}",57.6650390625,25.62890625,29.779229941327532,5,0,0,5,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,0.0,0.0,1.0,0.0,0.0,7.100718280628018,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",478.44070492099456,260.1929555733861
10,SNAKE AND EAGLE,8A,"[{'Id': 1861589, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1861590, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1861591, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}, {'Id': 1861592, 'Description': 'C12', 'IsStart': False, 'IsEnd': False}, {'Id': 1861593, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",335177,"['D6', 'H15', 'H18', 'C12', 'F8']",5,"{'D6toH15': 9.848857801796104, 'D6toH18': 12.649110640673518, 'D6toC12': 6.082762530298219, 'D6toF8': 2.8284271247461903, 'H15toH18': 3.0, 'H15toC12': 5.830951894845301, 'H15toF8': 7.280109889280518, 'H18toC12': 7.810249675906654, 'H18toF8': 10.198039027185569, 'C12toF8': 5.0}",57.6650390625,25.62890625,30.518286197571285,5,0,0,5,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,0.0,0.0,1.0,0.0,0.0,7.052850858473207,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1059.7440565820564,23.817980820784094
11,THE PROJ,8A,"[{'Id': 1842497, 'Description': 'B4', 'IsStart': True, 'IsEnd': False}, {'Id': 1842498, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}, {'Id': 1842499, 'Description': 'D13', 'IsStart': False, 'IsEnd': False}, {'Id': 1842500, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 1842501, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}, {'Id': 1842502, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",30612,"['B4', 'C18', 'D13', 'D3', 'F8', 'I8']",6,"{'B4toC18': 14.035668847618199, 'B4toD13': 9.219544457292887, 'B4toD3': 2.23606797749979, 'B4toF8': 5.656854249492381, 'B4toI8': 8.06225774829855, 'C18toD13': 5.0990195135927845, 'C18toD3': 15.033296378372908, 'C18toF8': 10.44030650891055, 'C18toI8': 11.661903789690601, 'D13toD3': 10.0, 'D13toF8': 5.385164807134504, 'D13toI8': 7.0710678118654755, 'D3toF8': 5.385164807134504, 'D3toI8': 7.0710678118654755, 'F8toI8': 3.0}",57.6650390625,14.23828125,27.822154314090046,4,2,0,6,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,7.957158980584574,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",3326.11714790659,286.86162891418536
12,THIS IS PROB HARDER 8A,8A,"[{'Id': 1857950, 'Description': 'C12', 'IsStart': False, 'IsEnd': False}, {'Id': 1857951, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}, {'Id': 1857952, 'Description': 'H8', 'IsStart': False, 'IsEnd': False}, {'Id': 1857953, 'Description': 'I14', 'IsStart': False, 'IsEnd': False}, {'Id': 1857954, 'Description': 'J5', 'IsStart': True, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",150763,"['C12', 'D18', 'H8', 'I14', 'J5']",5,"{'C12toD18': 6.082762530298219, 'C12toH8': 6.4031242374328485, 'C12toI14': 6.324555320336759, 'C12toJ5': 9.899494936611665, 'D18toH8': 10.770329614269007, 'D18toI14': 6.4031242374328485, 'D18toJ5': 14.317821063276353, 'H8toI14': 6.082762530298219, 'H8toJ5': 3.605551275463989, 'I14toJ5': 9.055385138137417}",57.6650390625,5.0625,9.98976441299883,5,0,0,1,4,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,0.8,0.0,0.2,0.8,0.0,7.894491088355733,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",7.899708922486468,1.5359230231331507
13,URALMASH,8A,"[{'Id': 1578520, 'Description': 'K6', 'IsStart': True, 'IsEnd': False}, {'Id': 1578521, 'Description': 'I8', 'IsStart': False, 'IsEnd': False}, {'Id': 1578522, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1578523, 'Description': 'D15', 'IsStart': False, 'IsEnd': False}, {'Id': 1578524, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",190466,"['K6', 'I8', 'D10', 'D15', 'A18']",5,"{'K6toI8': 2.8284271247461903, 'K6toD10': 8.06225774829855, 'K6toD15': 11.40175425099138, 'K6toA18': 15.620499351813308, 'I8toD10': 5.385164807134504, 'I8toD15': 8.602325267042627, 'I8toA18': 12.806248474865697, 'D10toD15': 5.0, 'D10toA18': 8.54400374531753, 'D15toA18': 4.242640687119285}",57.6650390625,7.59375,23.716527215995704,5,0,0,3,2,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.0,0.4,0.0,0.6,0.4,0.0,8.249332145732907,9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",7.063193932672768,23.817980820784094
14,ACTION DIRECTE,7C+,"[{'Id': 1621967, 'Description': 'A15', 'IsStart': False, 'IsEnd': False}, {'Id': 1621968, 'Description': 'E13', 'IsStart': False, 'IsEnd': False}, {'Id': 1621969, 'Description': 'E18', 'IsStart': False, 'IsEnd': True}, {'Id': 1621970, 'Description': 'F10', 'IsStart': False, 'IsEnd': False}, {'Id': 1621971, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1621972, 'Description': 'I6', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",44178,"['A15', 'E13', 'E18', 'F10', 'I4', 'I6']",6,"{'A15toE13': 4.47213595499958, 'A15toE18': 5.0, 'A15toF10': 7.0710678118654755, 'A15toI4': 13.601470508735444, 'A15toI6': 12.041594578792296, 'E13toE18': 5.0, 'E13toF10': 3.1622776601683795, 'E13toI4': 9.848857801796104, 'E13toI6': 8.06225774829855, 'E18toF10': 8.06225774829855, 'E18toI4': 14.560219778561036, 'E18toI6': 12.649110640673518, 'F10toI4': 6.708203932499369, 'F10toI6': 5.0, 'I4toI6': 2.0}",38.443359375,12.33984375,16.293095914204503,6,0,0,0,0,6,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,0.0,1.0,0.0,1.0,0.0,7.81596361097922,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0.9706693244884584,1.203712240084663
15,BACCATESTABANANA,7C+,"[{'Id': 1855516, 'Description': 'A5', 'IsStart': True, 'IsEnd': False}, {'Id': 1855517, 'Description': 'C14', 'IsStart': False, 'IsEnd': False}, {'Id': 1855518, 'Description': 'E7', 'IsStart': False, 'IsEnd': False}, {'Id': 1855519, 'Description': 'G18', 'IsStart': False, 'IsEnd': True}, {'Id': 1855520, 'Description': 'H11', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}]",44578,"['A5', 'C14', 'E7', 'G18', 'H11']",5,"{'A5toC14': 9.219544457292887, 'A5toE7': 4.47213595499958, 'A5toG18': 14.317821063276353, 'A5toH11': 9.219544457292887, 'C14toE7': 7.280109889280518, 'C14toG18': 5.656854249492381, 'C14toH11': 5.830951894845301, 'E7toG18': 11.180339887498949, 'E7toH11': 5.0, 'G18toH11': 7.0710678118654755}",38.443359375,5.0625,9.152142721036586,5,0,0,0,0,5,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.0,0.0,1.0,0.0,1.0,0.0,7.924836966584434,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1.2430424529252613,2.2972218505735453
